M,N,K,out_dtype,ws_cap,op,aligned,algo_count,first_algo_id,workspace_bytes,status
262144,64,64,fp32,max,N,1,2,21,0,ok
262144,64,64,fp32,max,T,1,2,21,0,ok
1048576,16,16,bf16,0,N,1,3,21,0,ok
1048576,16,16,bf16,0,T,1,3,21,0,ok
1048576,16,16,bf16,1MiB,N,1,3,21,0,ok
1048576,16,16,bf16,1MiB,T,1,3,21,0,ok
1048576,16,16,bf16,16MiB,N,1,3,21,0,ok
1048576,16,16,bf16,16MiB,T,1,3,21,0,ok
1048576,16,16,bf16,max,N,1,3,21,0,ok
1048576,16,16,bf16,max,T,1,3,21,0,ok
1048576,16,16,fp32,0,N,1,3,21,0,ok
1048576,16,16,fp32,0,T,1,3,21,0,ok
1048576,16,16,fp32,1MiB,N,1,3,21,0,ok
1048576,16,16,fp32,1MiB,T,1,3,21,0,ok
1048576,16,16,fp32,16MiB,N,1,3,21,0,ok
1048576,16,16,fp32,16MiB,T,1,3,21,0,ok
1048576,16,16,fp32,max,N,1,3,21,0,ok
1048576,16,16,fp32,max,T,1,3,21,0,ok
