backend,circuit,dtype,max_abs_err,mode,n,peak_alloc_bytes,peak_smi_bytes,rel_err,trials,wall_s
pytorch,ghz,complex64,,end-to-end,24,321557504,1523580928,,3,0.06383154699999949
pytorch,ghz,complex64,,end-to-end,26,1261258752,2599419904,,3,0.2558851750000031
pytorch,ghz,complex64,,end-to-end,28,5008177664,6899630080,,3,0.9750444219999963
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,24,478355456,1579155456,0.00010680011473596096,3,0.08909261299999116
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,26,1887647744,3458203648,0.00010680011473596096,3,0.26301924000000554
pytorch,ghz,bf16,7.551908493041992e-05,end-to-end,28,7524798464,10974396416,0.00010680011473596096,3,2.809289967999973
